GEO_ID,NAME,S2301_C02_001E
48001,"Anderson County, Texas",41.4
48003,"Andrews County, Texas",64.9
48005,"Angelina County, Texas",58.2
48007,"Aransas County, Texas",51.6
48009,"Archer County, Texas",64.5
48011,"Armstrong County, Texas",57.4
48013,"Atascosa County, Texas",58.6
48015,"Austin County, Texas",60.9
48017,"Bailey County, Texas",63.2
48019,"Bandera County, Texas",52.5
48021,"Bastrop County, Texas",59.1
48023,"Baylor County, Texas",54.3
48025,"Bee County, Texas",41.1
48027,"Bell County, Texas",65.6
48029,"Bexar County, Texas",64.8
48031,"Blanco County, Texas",59.9
48033,"Borden County, Texas",52.4
48035,"Bosque County, Texas",54.3
48037,"Bowie County, Texas",53.2
48039,"Brazoria County, Texas",64.3
48041,"Brazos County, Texas",61
48043,"Brewster County, Texas",61.4
48045,"Briscoe County, Texas",50.6
48047,"Brooks County, Texas",53.3
48049,"Brown County, Texas",55.8
48051,"Burleson County, Texas",56.3
48053,"Burnet County, Texas",58.3
48055,"Caldwell County, Texas",57
48057,"Calhoun County, Texas",60
48059,"Callahan County, Texas",54.6
48061,"Cameron County, Texas",55.8
48063,"Camp County, Texas",57.9
48065,"Carson County, Texas",63.8
48067,"Cass County, Texas",51.4
48069,"Castro County, Texas",62.5
48071,"Chambers County, Texas",65.3
48073,"Cherokee County, Texas",53.6
48075,"Childress County, Texas",51
48077,"Clay County, Texas",55
48079,"Cochran County, Texas",59.7
48081,"Coke County, Texas",55.3
48083,"Coleman County, Texas",54.1
48085,"Collin County, Texas",70.8
48087,"Collingsworth County, Texas",63.2
48089,"Colorado County, Texas",59
48091,"Comal County, Texas",60.8
48093,"Comanche County, Texas",57.2
48095,"Concho County, Texas",32.6
48097,"Cooke County, Texas",64
48099,"Coryell County, Texas",56.9
48101,"Cottle County, Texas",60.4
48103,"Crane County, Texas",62.1
48105,"Crockett County, Texas",62.1
48107,"Crosby County, Texas",59.4
48109,"Culberson County, Texas",66.5
48111,"Dallam County, Texas",72.1
48113,"Dallas County, Texas",68.8
48115,"Dawson County, Texas",47.9
48117,"Deaf Smith County, Texas",65.4
48119,"Delta County, Texas",54.2
48121,"Denton County, Texas",72.6
48123,"DeWitt County, Texas",51.6
48125,"Dickens County, Texas",46.4
48127,"Dimmit County, Texas",49.3
48129,"Donley County, Texas",56.2
48131,"Duval County, Texas",55.4
48133,"Eastland County, Texas",49.6
48135,"Ector County, Texas",68.3
48137,"Edwards County, Texas",52.3
48139,"Ellis County, Texas",66.8
48141,"El Paso County, Texas",62.1
48143,"Erath County, Texas",61.1
48145,"Falls County, Texas",45.1
48147,"Fannin County, Texas",51.9
48149,"Fayette County, Texas",56.6
48151,"Fisher County, Texas",58
48153,"Floyd County, Texas",59.8
48155,"Foard County, Texas",57
48157,"Fort Bend County, Texas",66.9
48159,"Franklin County, Texas",60.3
48161,"Freestone County, Texas",46.6
48163,"Frio County, Texas",45.1
48165,"Gaines County, Texas",62.5
48167,"Galveston County, Texas",64.3
48169,"Garza County, Texas",37.7
48171,"Gillespie County, Texas",57.8
48173,"Glasscock County, Texas",61.2
48175,"Goliad County, Texas",53.5
48177,"Gonzales County, Texas",58.3
48179,"Gray County, Texas",55.5
48181,"Grayson County, Texas",62
48183,"Gregg County, Texas",61
48185,"Grimes County, Texas",50.8
48187,"Guadalupe County, Texas",64.2
48189,"Hale County, Texas",58.9
48191,"Hall County, Texas",56.3
48193,"Hamilton County, Texas",51.4
48195,"Hansford County, Texas",60.6
48197,"Hardeman County, Texas",57.2
48199,"Hardin County, Texas",56.3
48201,"Harris County, Texas",67.6
48203,"Harrison County, Texas",57.1
48205,"Hartley County, Texas",43.9
