GEO_ID,NAME,S1502_C01_001E
48001,"Anderson County, Texas",4464
48003,"Andrews County, Texas",1306
48005,"Angelina County, Texas",9694
48007,"Aransas County, Texas",3911
48009,"Archer County, Texas",1467
48011,"Armstrong County, Texas",319
48013,"Atascosa County, Texas",4533
48015,"Austin County, Texas",4839
48017,"Bailey County, Texas",735
48019,"Bandera County, Texas",3857
48021,"Bastrop County, Texas",11485
48023,"Baylor County, Texas",579
48025,"Bee County, Texas",1966
48027,"Bell County, Texas",53200
48029,"Bexar County, Texas",349451
48031,"Blanco County, Texas",2290
48033,"Borden County, Texas",165
48035,"Bosque County, Texas",2595
48037,"Bowie County, Texas",13041
48039,"Brazoria County, Texas",70694
48041,"Brazos County, Texas",49439
48043,"Brewster County, Texas",2722
48045,"Briscoe County, Texas",207
48047,"Brooks County, Texas",635
48049,"Brown County, Texas",4991
48051,"Burleson County, Texas",2181
48053,"Burnet County, Texas",8287
48055,"Caldwell County, Texas",3995
48057,"Calhoun County, Texas",2043
48059,"Callahan County, Texas",2070
48061,"Cameron County, Texas",42787
48063,"Camp County, Texas",1636
48065,"Carson County, Texas",1171
48067,"Cass County, Texas",3444
48069,"Castro County, Texas",727
48071,"Chambers County, Texas",5941
48073,"Cherokee County, Texas",5835
48075,"Childress County, Texas",945
48077,"Clay County, Texas",1615
48079,"Cochran County, Texas",151
48081,"Coke County, Texas",446
48083,"Coleman County, Texas",970
48085,"Collin County, Texas",334153
48087,"Collingsworth County, Texas",398
48089,"Colorado County, Texas",3008
48091,"Comal County, Texas",36365
48093,"Comanche County, Texas",1945
48095,"Concho County, Texas",342
48097,"Cooke County, Texas",5639
48099,"Coryell County, Texas",7681
48101,"Cottle County, Texas",179
48103,"Crane County, Texas",427
48105,"Crockett County, Texas",332
48107,"Crosby County, Texas",493
48109,"Culberson County, Texas",146
48111,"Dallam County, Texas",712
48113,"Dallas County, Texas",525525
48115,"Dawson County, Texas",1151
48117,"Deaf Smith County, Texas",1318
48119,"Delta County, Texas",905
48121,"Denton County, Texas",246869
48123,"DeWitt County, Texas",1811
48125,"Dickens County, Texas",303
48127,"Dimmit County, Texas",877
48129,"Donley County, Texas",392
48131,"Duval County, Texas",639
48133,"Eastland County, Texas",1997
48135,"Ector County, Texas",14687
48137,"Edwards County, Texas",266
48139,"Ellis County, Texas",27193
48141,"El Paso County, Texas",119062
48143,"Erath County, Texas",7625
48145,"Falls County, Texas",1519
48147,"Fannin County, Texas",4224
48149,"Fayette County, Texas",3597
48151,"Fisher County, Texas",499
48153,"Floyd County, Texas",600
48155,"Foard County, Texas",152
48157,"Fort Bend County, Texas",226577
48159,"Franklin County, Texas",1938
48161,"Freestone County, Texas",2126
48163,"Frio County, Texas",907
48165,"Gaines County, Texas",1295
48167,"Galveston County, Texas",69437
48169,"Garza County, Texas",626
48171,"Gillespie County, Texas",6229
48173,"Glasscock County, Texas",241
48175,"Goliad County, Texas",918
48177,"Gonzales County, Texas",1748
48179,"Gray County, Texas",2058
48181,"Grayson County, Texas",18048
48183,"Gregg County, Texas",17008
48185,"Grimes County, Texas",3019
48187,"Guadalupe County, Texas",29451
48189,"Hale County, Texas",3578
48191,"Hall County, Texas",331
48193,"Hamilton County, Texas",1329
48195,"Hansford County, Texas",511
48197,"Hardeman County, Texas",378
48199,"Hardin County, Texas",6446
48201,"Harris County, Texas",932169
48203,"Harrison County, Texas",8374
48205,"Hartley County, Texas",762
48207,"Haskell County, Texas",476
48209,"Hays County, Texas",47623
48211,"Hemphill County, Texas",515
48213,"Henderson County, Texas",9926
48215,"Hidalgo County, Texas",89652
48217,"Hill County, Texas",4239
48219,"Hockley County, Texas",2277
48221,"Hood County, Texas",11109
48223,"Hopkins County, Texas",4917
48225,"Houston County, Texas",2535
48227,"Howard County, Texas",3117
48229,"Hudspeth County, Texas",314
48231,"Hunt County, Texas",12356
48233,"Hutchinson County, Texas",1959
48235,"Irion County, Texas",156
48237,"Jack County, Texas",817
48239,"Jackson County, Texas",1632
48241,"Jasper County, Texas",3106
48243,"Jeff Davis County, Texas",518
48245,"Jefferson County, Texas",33216
48247,"Jim Hogg County, Texas",408
48249,"Jim Wells County, Texas",3131
48251,"Johnson County, Texas",20431
48253,"Jones County, Texas",1724
48255,"Karnes County, Texas",1640
48257,"Kaufman County, Texas",16305
48259,"Kendall County, Texas",12590
48261,"Kenedy County, Texas",4
48263,"Kent County, Texas",120
48265,"Kerr County, Texas",10289
48267,"Kimble County, Texas",722
48269,"King County, Texas",33
48271,"Kinney County, Texas",359
48273,"Kleberg County, Texas",4228
48275,"Knox County, Texas",482
48277,"Lamar County, Texas",6319
48279,"Lamb County, Texas",1196
48281,"Lampasas County, Texas",2925
48283,"La Salle County, Texas",392
48285,"Lavaca County, Texas",2295
48287,"Lee County, Texas",1696
48289,"Leon County, Texas",1681
48291,"Liberty County, Texas",5279
48293,"Limestone County, Texas",2402
48295,"Lipscomb County, Texas",440
48297,"Live Oak County, Texas",1057
48299,"Llano County, Texas",4258
48301,"Loving County, Texas",0
48303,"Lubbock County, Texas",54246
48305,"Lynn County, Texas",657
48307,"McCulloch County, Texas",977
48309,"McLennan County, Texas",36921
48311,"McMullen County, Texas",143
